payment_id,invoice_id,payment_date,amount,bank_account_ref
PMT-5214,INV-3214,2024-01-21,1838.31,BA-80263864
PMT-5215,INV-3215,2024-02-02,4879.38,BA-62571125
PMT-5216,INV-3216,2024-01-30,3234.6,BA-56165549
PMT-5217,INV-3217,2024-01-25,4291.46,BA-82616531
PMT-5218,INV-3218,2024-01-22,2625.15,BA-59014774
PMT-5219,INV-3219,2024-01-20,3262.56,BA-41383927
PMT-5220,INV-3220,2024-01-24,1790.19,BA-98428371
PMT-5221,INV-3221,2024-01-26,4962.2,BA-51963013
PMT-5222,INV-3222,2024-01-24,3382.07,BA-70690025
PMT-5223,INV-3223,2024-02-05,325.82,BA-14417590
PMT-5224,INV-3224,2024-01-22,3786.89,BA-27241056
PMT-5225,INV-3225,2024-01-31,2431.26,BA-91248554
PMT-5226,INV-3226,2024-01-31,192.98,BA-28999723
PMT-5227,INV-3227,2024-02-02,1719.86,BA-40331435
PMT-5228,INV-3228,2024-01-31,4659.59,BA-72265710
PMT-5229,INV-3229,2024-02-06,5614.84,BA-16761851
PMT-5230,INV-3230,2024-02-07,3016.2,BA-19005572
PMT-5231,INV-3231,2024-02-06,4272.41,BA-37543830
PMT-5232,INV-3232,2024-01-24,1746.71,BA-24635906
PMT-5233,INV-3233,2024-02-08,5978.8,BA-13099855
PMT-5234,INV-3234,2024-01-31,3100.44,BA-46074069
PMT-5235,INV-3235,2024-01-28,801.84,BA-95442367
PMT-5236,INV-3236,2024-01-29,4412.41,BA-62790744
PMT-5237,INV-3237,2024-02-05,1941.01,BA-52477713
PMT-5238,INV-3238,2024-01-22,4615.96,BA-40580235
PMT-5239,INV-3239,2024-01-30,1039.91,BA-81340400
PMT-5240,INV-3240,2024-02-07,2100.25,BA-23696006
PMT-5241,INV-3241,2024-02-04,321.19,BA-84550146
PMT-5242,INV-3242,2024-02-07,4110.47,BA-11251911
PMT-5243,INV-3243,2024-01-29,1784.47,BA-67310943
PMT-5244,INV-3244,2024-02-01,1906.16,BA-17246803
PMT-5245,INV-3245,2024-02-06,2941.74,BA-93351060
PMT-5246,INV-3246,2024-02-06,2741.6,BA-10906434
PMT-5247,INV-3247,2024-01-29,8603.35,BA-48081562
PMT-5248,INV-3248,2024-01-25,4484.67,BA-84550146
PMT-5249,INV-3249,2024-01-29,7658.85,BA-30729474
PMT-5250,INV-3250,2024-01-21,4406.06,BA-38816302
PMT-5251,INV-3251,2024-02-07,1338.8,BA-21259600
PMT-5252,INV-3252,2024-02-05,4587.79,BA-69907747
PMT-5253,INV-3253,2024-01-24,1834.07,BA-80228705
PMT-5254,INV-3254,2024-02-01,4764.17,BA-19816400
PMT-5255,INV-3255,2024-01-26,1654.48,BA-28885403
PMT-5256,INV-3256,2024-01-29,3154.37,BA-36742886
PMT-5257,INV-3257,2024-02-03,2404.94,BA-74146043
PMT-5258,INV-3258,2024-01-24,3165.59,BA-44628537
PMT-5259,INV-3259,2024-01-22,789.29,BA-17295858
PMT-5260,INV-3260,2024-01-26,3941.77,BA-17533716
PMT-5261,INV-3261,2024-01-25,3571.96,BA-44628537
PMT-5262,INV-3262,2024-01-23,2237.4,BA-33960779
PMT-5263,INV-3263,2024-02-08,2493.63,BA-18435817
PMT-5264,INV-3264,2024-02-07,2529.68,BA-80228705
PMT-5265,INV-3265,2024-01-28,574.62,BA-88590039
PMT-5266,INV-3266,2024-02-08,453.55,BA-33858409
PMT-5267,INV-3267,2024-01-27,1977.16,BA-41608813
PMT-5268,INV-3268,2024-01-30,10025.03,BA-10031310
PMT-5269,INV-3269,2024-02-02,5639.01,BA-34576324
PMT-5270,INV-3270,2024-01-26,2263.26,BA-42878944
PMT-5271,INV-3271,2024-01-27,2602.61,BA-96363470
PMT-5272,INV-3272,2024-01-27,4424.87,BA-13559020
PMT-5273,INV-3273,2024-02-07,629.59,BA-12510524
PMT-5274,INV-3274,2024-01-22,2503.86,BA-92227093
PMT-5275,INV-3275,2024-02-02,4060.18,BA-50509631
PMT-5276,INV-3276,2024-02-01,8112.43,BA-16481569
PMT-5277,INV-3277,2024-02-08,2437.44,BA-38283069
PMT-5278,INV-3278,2024-02-09,3763.09,BA-12426922
PMT-5279,INV-3279,2024-01-31,2671.23,BA-37643310
PMT-5280,INV-3280,2024-02-05,4156.91,BA-44709914
PMT-5281,INV-3281,2024-02-06,6503.08,BA-89441831
PMT-5282,INV-3282,2024-02-08,3212.56,BA-28974291
PMT-5283,INV-3283,2024-01-31,7538.95,BA-10031310
PMT-5284,INV-3284,2024-02-04,1034.48,BA-43776393
PMT-5285,INV-3285,2024-01-25,3835.41,BA-44941579
PMT-5286,INV-3286,2024-01-28,5434.35,BA-96504107
PMT-5287,INV-3287,2024-01-25,1791.08,BA-11991036
PMT-5288,INV-3288,2024-01-27,2962.05,BA-86626738
PMT-5289,INV-3289,2024-02-06,449.45,BA-78809268
PMT-5290,INV-3290,2024-02-05,258.12,BA-84903659
PMT-5291,INV-3291,2024-01-26,5243.45,BA-67141834
PMT-5292,INV-3292,2024-02-01,2141.92,BA-65470372
PMT-5293,INV-3293,2024-02-12,5276.38,BA-18505221
PMT-5294,INV-3294,2024-02-06,564.85,BA-40438711
PMT-5295,INV-3295,2024-02-07,3146.38,BA-61518491
PMT-5296,INV-3296,2024-02-06,5329.63,BA-50835013
PMT-5297,INV-3297,2024-02-02,6738.62,BA-43234300
PMT-5298,INV-3298,2024-01-26,4633.02,BA-57261417
PMT-5299,INV-3299,2024-02-03,1147.51,BA-81687448
PMT-5300,INV-3300,2024-01-26,6493.94,BA-71330592
PMT-5301,INV-3301,2024-02-03,3147.9,BA-41383927
PMT-5302,INV-3302,2024-02-08,2763.14,BA-87578838
PMT-5303,INV-3303,2024-02-02,4403.3,BA-80338909
PMT-5304,INV-3304,2024-02-02,1663.07,BA-45456120
PMT-5305,INV-3305,2024-02-06,687.05,BA-15131948
PMT-5306,INV-3306,2024-02-01,6354.94,BA-29343122
PMT-5307,INV-3307,2024-02-05,601.25,BA-69990372
PMT-5308,INV-3308,2024-02-08,6934.6,BA-98217056
PMT-5309,INV-3309,2024-02-03,955.12,BA-43239798
PMT-5310,INV-3310,2024-02-04,1484.95,BA-69812891
PMT-5311,INV-3311,2024-02-10,2737.7,BA-26487605
PMT-5312,INV-3312,2024-02-01,2037.21,BA-13856428
PMT-5313,INV-3313,2024-02-13,15470.31,BA-51554798
PMT-5314,INV-3314,2024-02-01,1591.53,BA-85890364
PMT-5315,INV-3315,2024-02-11,1815.15,BA-57261417
PMT-5316,INV-3316,2024-02-04,5201.85,BA-99318208
PMT-5317,INV-3317,2024-01-31,2418.72,BA-42301241
PMT-5318,INV-3318,2024-02-05,1507.58,BA-23503073
PMT-5319,INV-3319,2024-02-05,1231.62,BA-64288997
PMT-5320,INV-3320,2024-01-29,3762.77,BA-64020531
PMT-5321,INV-3321,2024-02-06,3114.74,BA-78105910
PMT-5322,INV-3322,2024-01-27,1918.32,BA-50527182
PMT-5323,INV-3323,2024-02-11,3716.3,BA-13856428
PMT-5324,INV-3324,2024-02-03,11526.89,BA-30106149
PMT-5325,INV-3325,2024-02-01,4683.54,BA-69907747
PMT-5326,INV-3326,2024-02-06,2653.5,BA-22198987
PMT-5327,INV-3327,2024-02-10,3029.55,BA-93066261
PMT-5328,INV-3328,2024-02-02,2633.67,BA-81742291
PMT-5329,INV-3329,2024-02-14,4718.73,BA-83849218
PMT-5330,INV-3330,2024-01-28,4894.05,BA-87550420
PMT-5331,INV-3331,2024-02-03,3456.37,BA-78851172
PMT-5332,INV-3332,2024-02-08,6344.75,BA-51617218
PMT-5333,INV-3333,2024-01-29,6255.55,BA-73600201
PMT-5334,INV-3334,2024-02-11,4372.56,BA-56016792
PMT-5335,INV-3335,2024-02-02,11768.05,BA-70805810
PMT-5336,INV-3336,2024-02-10,4192.79,BA-81281134
PMT-5337,INV-3337,2024-02-01,2274.05,BA-99177643
PMT-5338,INV-3338,2024-02-06,913.44,BA-56625835
PMT-5339,INV-3339,2024-01-28,5301.92,BA-61877136
PMT-5340,INV-3340,2024-01-31,3567.82,BA-94650589
PMT-5341,INV-3341,2024-02-01,9493.89,BA-51432906
PMT-5342,INV-3342,2024-01-28,1222.77,BA-88274942
PMT-5343,INV-3343,2024-02-01,1481.51,BA-88061052
PMT-5344,INV-3344,2024-02-06,4747.47,BA-64310997
PMT-5345,INV-3345,2024-02-01,5854.14,BA-93094361
PMT-5346,INV-3346,2024-02-13,15301.9,BA-13137377
PMT-5347,INV-3347,2024-02-09,831.17,BA-84360327
PMT-5348,INV-3348,2024-02-01,10075.73,BA-25238985
PMT-5349,INV-3349,2024-02-03,11372.07,BA-83838220
PMT-5350,INV-3350,2024-02-12,1846.83,BA-68605830
PMT-5351,INV-3351,2024-02-10,3497.95,BA-23193537
PMT-5352,INV-3352,2024-01-31,6911.72,BA-32329304
PMT-5353,INV-3353,2024-02-11,2091.75,BA-90783162
PMT-5354,INV-3354,2024-02-08,8969.79,BA-73002019
PMT-5355,INV-3355,2024-02-10,881.66,BA-47437199
PMT-5356,INV-3356,2024-02-08,252.62,BA-67783637
PMT-5357,INV-3357,2024-01-30,679.33,BA-36192056
PMT-5358,INV-3358,2024-02-16,5790.12,BA-58567817
PMT-5359,INV-3359,2024-02-05,2024.67,BA-93940881
PMT-5360,INV-3360,2024-02-04,2826.91,BA-62759119
PMT-5361,INV-3361,2024-01-29,2225.8,BA-34256684
PMT-5362,INV-3362,2024-01-30,5630.72,BA-95091360
PMT-5363,INV-3363,2024-02-05,2855.93,BA-46074069
PMT-5364,INV-3364,2024-02-17,5233.3,BA-40677423
PMT-5365,INV-3365,2024-02-08,6073.84,BA-18697858
PMT-5366,INV-3366,2024-02-19,341.78,BA-15592444
PMT-5367,INV-3367,2024-02-14,2383.93,BA-61482749
PMT-5368,INV-3368,2024-02-04,5837.78,BA-73002019
PMT-5369,INV-3369,2024-02-01,3435.91,BA-26421523
PMT-5370,INV-3370,2024-02-02,1812.97,BA-80676511
PMT-5371,INV-3371,2024-02-11,5276.52,BA-91628191
PMT-5372,INV-3372,2024-02-03,504.96,BA-57000147
PMT-5373,INV-3373,2024-02-04,2693.62,BA-76365510
PMT-5374,INV-3374,2024-02-04,1325.24,BA-81687448
PMT-5375,INV-3375,2024-02-16,5146.7,BA-83838220
PMT-5376,INV-3376,2024-02-05,2391.82,BA-93094361
PMT-5377,INV-3377,2024-02-17,2901.89,BA-28974291
PMT-5378,INV-3378,2024-02-14,1373.46,BA-54791387
PMT-5379,INV-3379,2024-02-01,6241.19,BA-69907747
PMT-5380,INV-3380,2024-02-06,2438.28,BA-34949696
PMT-5381,INV-3381,2024-02-08,3579.12,BA-84021199
PMT-5382,INV-3382,2024-02-18,6293.53,BA-89935804
PMT-5383,INV-3383,2024-02-05,1824.6,BA-93479287
PMT-5384,INV-3384,2024-02-18,2164.53,BA-60024878
PMT-5385,INV-3385,2024-02-17,6793.78,BA-76296682
PMT-5386,INV-3386,2024-02-04,9684.36,BA-99221985
PMT-5387,INV-3387,2024-02-17,2050.56,BA-45494011
PMT-5388,INV-3388,2024-02-12,2435.44,BA-29580598
PMT-5389,INV-3389,2024-02-16,505.07,BA-64728187
PMT-5390,INV-3390,2024-02-03,1806.29,BA-41935821
PMT-5391,INV-3391,2024-02-13,5145.64,BA-17626596
PMT-5392,INV-3392,2024-02-08,5226.6,BA-43343251
PMT-5393,INV-3393,2024-02-09,775.61,BA-61249253
PMT-5394,INV-3394,2024-02-04,4130.14,BA-76149430
PMT-5395,INV-3395,2024-02-10,5246.23,BA-24122579
PMT-5396,INV-3396,2024-02-07,5346.72,BA-81380338
PMT-5397,INV-3397,2024-02-02,550.64,BA-88061052
PMT-5398,INV-3398,2024-02-10,3898.15,BA-30287103
PMT-5399,INV-3399,2024-02-10,3646.22,BA-81742291
PMT-5400,INV-3400,2024-02-04,3154.66,BA-25018030
PMT-5401,INV-3401,2024-02-03,1811.14,BA-42509269
PMT-5402,INV-3402,2024-02-08,4268.84,BA-67411315
PMT-5403,INV-3403,2024-02-18,2764.6,BA-24040355
PMT-5404,INV-3404,2024-02-03,3521.33,BA-94212661
PMT-5405,INV-3405,2024-02-15,1796.38,BA-22858685
PMT-5406,INV-3406,2024-02-19,2929.1,BA-17572171
PMT-5407,INV-3407,2024-02-13,1973.65,BA-77635542
PMT-5408,INV-3408,2024-02-10,4147.81,BA-55909953
PMT-5409,INV-3409,2024-02-02,2408.26,BA-50469503
PMT-5410,INV-3410,2024-02-12,4112.11,BA-52423277
PMT-5411,INV-3411,2024-02-03,3274.52,BA-70002780
PMT-5412,INV-3412,2024-02-16,1077.36,BA-10664449
PMT-5413,INV-3413,2024-02-19,2280.62,BA-74477539
PMT-5414,INV-3414,2024-02-11,474.42,BA-68974969
PMT-5415,INV-3415,2024-02-19,1598.77,BA-51519704
PMT-5416,INV-3416,2024-02-12,1332.61,BA-19103678
PMT-5417,INV-3417,2024-02-15,827.13,BA-41358823
PMT-5418,INV-3418,2024-02-11,3085.1,BA-58413585
PMT-5419,INV-3419,2024-02-15,1031.81,BA-90695848
PMT-5420,INV-3420,2024-02-16,5576.15,BA-20883993
PMT-5421,INV-3421,2024-02-13,3824.79,BA-74651324
PMT-5422,INV-3422,2024-02-20,3652.07,BA-81281134
PMT-5423,INV-3423,2024-02-16,3218.96,BA-66515256
PMT-5424,INV-3424,2024-02-15,4369.45,BA-72940285
PMT-5425,INV-3425,2024-02-07,409.23,BA-96261858
PMT-5426,INV-3426,2024-02-15,2038.53,BA-43239798
PMT-5427,INV-3427,2024-02-15,1958.91,BA-36818248
PMT-5428,INV-3428,2024-02-16,2877.22,BA-48607563
PMT-5429,INV-3429,2024-02-07,1982.65,BA-66446184
PMT-5430,INV-3430,2024-02-03,1203.08,BA-32160892
PMT-5431,INV-3431,2024-02-10,4370.98,BA-49521671
PMT-5432,INV-3432,2024-02-19,2462.23,BA-74477539
PMT-5433,INV-3433,2024-02-11,5550.93,BA-61780050
PMT-5434,INV-3434,2024-02-15,2744.22,BA-47247613
PMT-5435,INV-3435,2024-02-10,6226.34,BA-52164119
PMT-5436,INV-3436,2024-02-10,714.46,BA-89976351
